файл	класс	правил_CSS	в_разметке	в_JS	статус
report	dph2	2	0	1	ok
report	dpr	2	0	1	ok
report	drow	17	0	0	НЕиспользуется
report	ds	1	0	0	НЕиспользуется
report	ds2	1	0	0	НЕиспользуется
report	dsb	3	0	1	ok
report	dsc2	2	0	0	НЕиспользуется
report	dsdeco	1	0	1	ok
report	dsg	10	0	0	НЕиспользуется
report	dsh	1	0	1	ok
report	dsi	4	0	0	НЕиспользуется
report	dsl	3	0	1	ok
report	dsm	2	0	1	ok
report	dst	5	1	0	ok
report	dtab	6	0	0	НЕиспользуется
report	dur	1	0	0	НЕиспользуется
report	dy	6	0	0	НЕиспользуется
report	eq	1	0	0	НЕиспользуется
report	ex	11	1	0	много_правил(11)
report	exl	3	1	0	ok
report	exm	4	1	0	ok
report	exp	2	1	0	ok
report	fact	3	1	0	ok
report	fbar	20	1	0	много_правил(20)
report	fbh	4	1	0	ok
report	fbi	14	1	0	много_правил(14)
report	fbl	8	1	0	много_правил(8)
report	fbt	6	1	0	ok
report	fc	2	0	1	ok
report	fcop	1	1	0	ok
report	fct	20	0	1	много_правил(20)
report	fd	1	0	1	ok
report	fg	11	1	1	много_правил(11)
report	fh	1	0	1	ok
report	fill	5	0	1	ok
report	fin	12	0	0	НЕиспользуется
report	finh	3	0	0	НЕиспользуется
report	finl	5	0	0	НЕиспользуется
report	finq	1	0	0	НЕиспользуется
report	finsub	2	0	0	НЕиспользуется
report	fixed	1	0	0	НЕиспользуется
report	fl	1	0	1	ok
report	fm2	2	0	0	НЕиспользуется
report	fmid	3	0	1	ok
report	fn	2	0	1	ok
report	fnd	4	1	0	ok
report	fnn	3	0	1	ok
report	fnw	2	0	1	ok
report	foot	1	1	0	ok
report	fpc	1	0	1	ok
report	free	1	0	1	ok
report	frg	1	0	1	ok
report	fring	8	0	1	много_правил(8)
report	fsub	2	0	1	ok
report	ftab	12	1	0	много_правил(12)
report	ftop	5	0	1	ok
report	fu	1	0	1	ok
report	fv	4	0	1	ok
report	g	26	0	1	много_правил(26)
report	g1	1	0	0	НЕиспользуется
report	g2	1	0	0	НЕиспользуется
report	g3	1	0	0	НЕиспользуется
report	gap	1	0	1	ok
report	go	6	0	1	ok
report	good2	3	0	0	НЕиспользуется
report	h	2	0	0	НЕиспользуется
report	h1	1	1	0	ok
report	h2c	1	1	0	ok
report	h2deco	1	1	0	ok
report	h2g	2	1	0	ok
report	h2i	2	1	0	ok
report	h2s	1	1	0	ok
report	h2t	2	1	0	ok
report	h2v	2	1	0	ok
report	h3	1	0	0	НЕиспользуется
report	hatch	1	0	1	ok
report	have	1	0	0	НЕиспользуется
report	hd	1	0	1	ok
report	hdeco	6	1	0	ok
report	hdr	1	1	0	ok
report	hero	13	1	0	много_правил(13)
report	hero2	13	1	0	много_правил(13)
report	hh	2	0	0	НЕиспользуется
report	hi	4	0	0	НЕиспользуется
report	hide	1	1	0	ok
report	hint	4	1	0	ok
report	hn	1	0	0	НЕиспользуется
report	howb	2	0	0	НЕиспользуется
report	howg	2	0	0	НЕиспользуется
report	howi	5	0	0	НЕиспользуется
report	howt	1	0	0	НЕиспользуется
report	hr	2	0	1	ok
report	hrp	2	0	0	НЕиспользуется
report	html	2	0	0	НЕиспользуется
report	htx	2	1	0	ok
report	ic	6	0	0	НЕиспользуется
report	in	2	1	0	ok
report	info	14	1	0	много_правил(14)
report	info2	1	0	0	НЕиспользуется
report	ins	2	0	0	НЕиспользуется
report	insc	9	0	0	НЕиспользуется
report	iok	2	0	1	ok
report	it	5	0	0	НЕиспользуется
report	iwt	2	0	1	ok
report	k	5	1	1	ok
